Gender,Income
Male,5436.0
Male,5667.0
Female,14166.0
Female,3000.0
Male,14166.0
Male,13000.0
Female,8684.0
Female,5833.0
Male,11800.0
Male,5000.0
Male,6550.0
Male,2500.0
Male,3983.0
Male,10500.0
Female,1150.0
Male,3300.0
Female,4925.0
Female,6825.0
Female,4370.0
Female,4076.0
Female,6833.0
Female,4300.0
Female,12400.0
Male,4000.0
Female,3639.0
Female,17000.0
Female,5884.0
Female,8000.0
Male,7514.0
Female,2500.0
Male,12239.0
Male,1000.0
Male,1050.0
Female,3372.0
Female,2040.0
Female,5500.0
Female,4583.0
Female,1074.0
Female,7085.0
Male,9583.0
Male,7200.0
Female,7703.0
Male,7000.0
Male,13988.0
Male,5000.0
Female,45000.0
Female,6668.0
Male,3750.0
Female,8200.0
Female,4600.0
Male,9500.0
Male,6554.0
Male,8583.0
Male,6700.0
Female,11580.0
Female,4400.0
Female,2916.0
Female,4000.0
Male,6200.0
Male,1590.0
Male,4600.0
Female,43600.0
Male,541.0
Male,7597.0
Female,2700.0
Male,7683.0
Female,4440.0
Male,14600.0
Female,6150.0
Male,4800.0
Female,7000.0
Male,6000.0
Female,11000.0
Male,4200.0
Female,45367.0
Male,12000.0
Male,4150.0
Female,8333.0
Female,5000.0
Female,6000.0
Male,23000.0
Male,4604.0
Female,15485.0
Male,9000.0
Male,3500.0
Male,5000.0
Male,4200.0
Male,8000.0
Male,21000.0
Male,10000.0
Male,3426.0
Female,25800.0
Male,3000.0
Female,4300.0
Male,9230.0
Male,7108.0
Male,3500.0
Female,1416.0
Male,100000.0
Female,8500.0
Female,7500.0
Female,5500.0
Female,4408.0
Male,1500.0
Male,3388.0
Female,18333.0
Female,3933.0
Female,15416.0
Male,7837.0
Female,7125.0
Female,10833.0
Female,6833.0
Female,8950.0
Female,3600.0
Female,3170.0
Male,2700.0
Female,7839.0
Female,11000.0
Male,15082.0
Female,3000.0
Female,9195.0
Male,10400.0
Male,5495.0
Female,8062.0
Male,5350.0
Female,2000.0
Female,4086.0
Female,41250.0
Male,5416.0
Female,3870.0
Male,15000.0
Female,5800.0
Male,3920.0
Female,4166.0
Female,3500.0
Male,2046.0
Male,2083.0
Female,4383.0
Male,4200.0
Female,4166.0
Male,4000.0
Male,5000.0
Male,2550.0
Male,560.0
Male,12000.0
Female,6000.0
Female,10000.0
Female,1000.0
Male,3416.0
Female,800.0
Female,7083.0
Male,5.0
Female,16500.0
Male,5900.0
Female,6589.0
Female,9000.0
Male,14334.0
Female,5000.0
Male,18166.0
Male,3011.0
Female,7833.0
Female,8000.0
Female,9797.0
Male,5416.0
Female,5900.0
Female,80176.0
Male,3711.0
Female,66333.0
Female,7454.0
Male,1850.0
Male,4166.0
Female,4166.0
Male,1200.0
Female,4442.0
Female,5450.0
Female,2200.0
Male,2100.0
Female,2750.0
Male,11833.0
Female,2500.0
Female,9493.0
Female,10916.0
Male,4407.0
